"SampleID";"scientific_name";"latitude";"longitude";"url";"image_url";"observed_on";"positional_accuracy";"year";"species_exp_original";"species_exp";"genus_exp_original";"genus_exp";"family_exp_original";"family_exp";"type";"colour";"interaction"
756;"Isodontia mexicana";42.453205;-71.0800945;"https://www.inaturalist.org/observations/58645778";"https://inaturalist-open-data.s3.amazonaws.com/photos/93644044/medium.jpg";"05/09/2020";;2020;"Abies alba";"Abies alba";"Picea";"Picea";"Pinaceae";"Pinaceae";"plant_no_flower";"noflower";"resting"
1628;"Isodontia mexicana";44.19970198;-77.88988058;"https://www.inaturalist.org/observations/85477580";"https://inaturalist-open-data.s3.amazonaws.com/photos/140646544/medium.jpg";"03/07/2021";39;2021;"Achillea distans";"Achillea distans";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"fuchsia/yellow";"feeding"
1668;"Isodontia mexicana";41.90836716;-88.21578217;"https://www.inaturalist.org/observations/84617401";"https://static.inaturalist.org/photos/139092086/medium.jpeg";"26/06/2021";7;2021;"Achillea distans";"Achillea distans";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"pink";"feeding"
1689;"Isodontia mexicana";45.48700556;-122.5713389;"https://www.inaturalist.org/observations/83326886";"https://inaturalist-open-data.s3.amazonaws.com/photos/136842204/medium.jpeg";"16/06/2021";;2021;"Achillea distans";"Achillea distans";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"pink";"feeding"
1644;"Isodontia mexicana";44.68062229;-63.57869427;"https://www.inaturalist.org/observations/85131200";"https://inaturalist-open-data.s3.amazonaws.com/photos/140018358/medium.jpg";"30/06/2021";759;2021;"Achillea distans";"Achillea distans";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"pink/yellow";"feeding"
216;"Isodontia mexicana";48.39773667;-116.47995;"https://www.inaturalist.org/observations/16101799";"https://static.inaturalist.org/photos/24121774/medium.jpg";"31/08/2018";5;2018;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
364;"Isodontia mexicana";47.66997631;16.13105008;"https://www.inaturalist.org/observations/33255076";"https://inaturalist-open-data.s3.amazonaws.com/photos/70258691/medium.jpeg";"23/09/2019";4;2019;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1049;"Isodontia mexicana";48.01845046;7.8277665;"https://www.inaturalist.org/observations/53751329";"https://inaturalist-open-data.s3.amazonaws.com/photos/85510226/medium.jpeg";"20/07/2020";22;2020;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1083;"Isodontia mexicana";52.30701888;10.54112186;"https://www.inaturalist.org/observations/52653753";"https://inaturalist-open-data.s3.amazonaws.com/photos/83716968/medium.jpg";"11/07/2020";13045;2020;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1134;"Isodontia mexicana";50.63945306;3.071877574;"https://www.inaturalist.org/observations/50788979";"https://inaturalist-open-data.s3.amazonaws.com/photos/80669517/medium.jpg";"23/06/2020";4;2020;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1449;"Isodontia mexicana";48.21928079;16.35317422;"https://www.inaturalist.org/observations/90436264";"https://inaturalist-open-data.s3.amazonaws.com/photos/149467122/medium.jpeg";"08/08/2021";2;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1579;"Isodontia mexicana";44.02414941;-73.39541624;"https://www.inaturalist.org/observations/86662117";"https://inaturalist-open-data.s3.amazonaws.com/photos/142800953/medium.jpg";"06/07/2021";4;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1590;"Isodontia mexicana";46.69262;7.673363333;"https://www.inaturalist.org/observations/86400030";"https://static.inaturalist.org/photos/142329014/medium.jpg";"10/07/2021";4;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1665;"Isodontia mexicana";50.12468594;8.582728433;"https://www.inaturalist.org/observations/84721713";"https://static.inaturalist.org/photos/139274640/medium.jpeg";"26/06/2021";31;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1703;"Isodontia mexicana";42.17608353;2.444436984;"https://www.inaturalist.org/observations/82020574";"https://inaturalist-open-data.s3.amazonaws.com/photos/134580574/medium.jpeg";"07/06/2021";122;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1717;"Isodontia mexicana";38.051973;-122.2269839;"https://www.inaturalist.org/observations/80327749";"https://inaturalist-open-data.s3.amazonaws.com/photos/131652156/medium.jpeg";"25/05/2021";45;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1721;"Isodontia mexicana";31.50806167;-97.30461167;"https://www.inaturalist.org/observations/80152132";"https://static.inaturalist.org/photos/131345348/medium.jpg";"24/05/2021";32;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1725;"Isodontia mexicana";38.051973;-122.2269839;"https://www.inaturalist.org/observations/78151531";"https://inaturalist-open-data.s3.amazonaws.com/photos/127859729/medium.jpeg";"09/05/2021";45;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1733;"Isodontia mexicana";38.051973;-122.2269839;"https://www.inaturalist.org/observations/76667810";"https://inaturalist-open-data.s3.amazonaws.com/photos/125395262/medium.jpeg";"02/05/2021";39;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1735;"Isodontia mexicana";38.051973;-122.2269839;"https://www.inaturalist.org/observations/75499282";"https://inaturalist-open-data.s3.amazonaws.com/photos/123527985/medium.jpeg";"27/04/2021";36;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1184;"Isodontia mexicana";46.91811834;15.57685469;"https://www.inaturalist.org/observations/106756605";"https://inaturalist-open-data.s3.amazonaws.com/photos/179409770/medium.jpeg";"16/06/2021";31;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
1210;"Isodontia mexicana";47.66639667;16.136035;"https://www.inaturalist.org/observations/99781273";"https://inaturalist-open-data.s3.amazonaws.com/photos/166413588/medium.jpeg";"03/10/2021";;2021;"Achillea millefolium";"Achillea millefolium";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
1543;"Isodontia mexicana";48.12550532;7.813823707;"https://www.inaturalist.org/observations/87526389";"https://static.inaturalist.org/photos/144317492/medium.jpeg";"18/07/2021";7087;2021;"Achillea setacea";"Achillea setacea";"Achillea";"Achillea";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
489;"Isodontia mexicana";45.45174865;6.569409381;"https://www.inaturalist.org/observations/30475839";"https://inaturalist-open-data.s3.amazonaws.com/photos/47615866/medium.jpg";"09/08/2019";8;2019;"Aegopodium podagraria";"Aegopodium podagraria";"Aegopodium";"Aegopodium";"Apiaceae";"Apiaceae";"plant_flower";"white";"feeding"
1093;"Isodontia mexicana";47.99699339;7.858205857;"https://www.inaturalist.org/observations/52368094";"https://inaturalist-open-data.s3.amazonaws.com/photos/83242797/medium.jpg";"07/07/2020";4;2020;"Aesculus parviflora";"Aesculus parviflora";"Aesculus";"Aesculus";"Sapindaceae";"Sapindaceae";"plant_flower";"white";"feeding"
741;"Isodontia mexicana";46.18725553;6.0127974;"https://www.inaturalist.org/observations/59145335";"https://inaturalist-open-data.s3.amazonaws.com/photos/94483730/medium.jpg";"10/09/2020";33;2020;"Agastache scrophulariifolia";"Agastache scrophulariifolia";"Agastache";"Agastache";"Lamiaceae";"Lamiaceae";"plant_flower";"white";"feeding"
506;"Isodontia mexicana";43.553975;-79.65474667;"https://www.inaturalist.org/observations/30094717";"https://inaturalist-open-data.s3.amazonaws.com/photos/46998726/medium.jpg";"02/08/2019";5;2019;"Ageratina altissima";"Ageratina altissima";"Ageratina";"Ageratina";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
1339;"Isodontia mexicana";45.72796167;4.834705;"https://www.inaturalist.org/observations/92680582";"https://inaturalist-open-data.s3.amazonaws.com/photos/153493815/medium.jpg";"27/08/2021";4;2021;"Allium tuberosum";"Allium tuberosum";"Allium";"Allium";"Amaryllidaceae";"Amaryllidaceae";"plant_flower";"white";"feeding"
1467;"Isodontia mexicana";39.13899333;-84.51672167;"https://www.inaturalist.org/observations/89856798";"https://inaturalist-open-data.s3.amazonaws.com/photos/148429923/medium.jpeg";"03/08/2021";;2021;"Ampelopsis cordata";"Ampelopsis cordata";"Ampelopsis";"Ampelopsis";"Vitaceae";"Vitaceae";"plant_flower";"green";"feeding"
1597;"Isodontia mexicana";41.57922924;-70.45740508;"https://www.inaturalist.org/observations/86092786";"https://static.inaturalist.org/photos/141767667/medium.jpg";"07/07/2021";36;2021;"Ampelopsis cordata";"Ampelopsis cordata";"Ampelopsis";"Ampelopsis";"Vitaceae";"Vitaceae";"plant_flower";"green";"feeding"
1362;"Isodontia mexicana";45.3656321;-75.74386798;"https://www.inaturalist.org/observations/92055681";"https://static.inaturalist.org/photos/152362896/medium.jpeg";"21/08/2021";164;2021;"Amphiachrys dracunculoides";"Amphiachyris dracunculoides";"Amphiachrys";"Amphiachyris";"Asteraceae";"Asteraceae";"plant_flower";"yellow";"feeding"
539;"Isodontia mexicana";43.63971333;-70.22995833;"https://www.inaturalist.org/observations/29487371";"https://inaturalist-open-data.s3.amazonaws.com/photos/46022394/medium.jpg";"24/07/2019";65;2019;"Anaphalis margaritacea";"Anaphalis margaritacea";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white";"feeding"
842;"Isodontia mexicana";43.01397732;-82.36067833;"https://www.inaturalist.org/observations/57490306";"https://static.inaturalist.org/photos/91703239/medium.jpeg";"24/08/2020";185;2020;"Anaphalis margaritacea";"Anaphalis margaritacea";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
859;"Isodontia mexicana";43.01397732;-82.36067833;"https://www.inaturalist.org/observations/57153406";"https://static.inaturalist.org/photos/91139249/medium.jpeg";"21/08/2020";185;2020;"Anaphalis margaritacea";"Anaphalis margaritacea";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
1324;"Isodontia mexicana";44.7358269;-63.7928628;"https://www.inaturalist.org/observations/93137850";"https://static.inaturalist.org/photos/154323235/medium.jpeg";"28/08/2021";9726;2021;"Anaphalis margaritaceae";"Anaphalis margaritaceae";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
1447;"Isodontia mexicana";43.01397732;-82.36067833;"https://www.inaturalist.org/observations/90469481";"https://static.inaturalist.org/photos/149526342/medium.jpeg";"08/08/2021";185;2021;"Anaphalis margaritaceae";"Anaphalis margaritaceae";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
1497;"Isodontia mexicana";47.72463431;-122.2231887;"https://www.inaturalist.org/observations/88949899";"https://static.inaturalist.org/photos/146831185/medium.jpeg";"27/07/2021";174;2021;"Anaphalis margaritaceae";"Anaphalis margaritaceae";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
1519;"Isodontia mexicana";43.6747028;-79.3335131;"https://www.inaturalist.org/observations/88336882";"https://inaturalist-open-data.s3.amazonaws.com/photos/145737638/medium.jpeg";"23/07/2021";179;2021;"Anaphalis margaritaceae";"Anaphalis margaritaceae";"Anaphalis";"Anaphalis";"Asteraceae";"Asteraceae";"plant_flower";"white/yellow";"feeding"
673;"Isodontia mexicana";40.71941597;-73.65172874;"https://www.inaturalist.org/observations/66092096";"https://inaturalist-open-data.s3.amazonaws.com/photos/106470527/medium.jpeg";"24/06/2020";;2020;"Apocynum cannabinum";"Apocynum cannabinum";"Apocynum";"Apocynum";"Apocynaceae";"Apocynaceae";"plant_flower";"white";"feeding"
1505;"Isodontia mexicana";41.369871;-73.009743;"https://www.inaturalist.org/observations/88590639";"https://static.inaturalist.org/photos/146182893/medium.jpeg";"25/07/2021";;2021;"Apocynum cannabinum";"Apocynum cannabinum";"Apocynum";"Apocynum";"Apocynaceae";"Apocynaceae";"plant_flower";"white";"feeding"
1005;"Isodontia mexicana";42.43056333;-71.12441383;"https://www.inaturalist.org/observations/54855792";"https://inaturalist-open-data.s3.amazonaws.com/photos/87308138/medium.jpg";"30/07/2020";36;2020;"Apocynum cannabinum";"Apocynum cannabinum";"Apocynum";"Apocynum";"Apocynaceae";"Apocynaceae";"plant_flower";"white/green";"feeding"
