"taxon_level";"expected_taxon";"n_samples";"accuracy"
"genus";"Achillea";6;1
"genus";"Aegopodium";1;0
"genus";"Aesculus";1;1
"genus";"Agastache";1;0
"genus";"Ageratina";1;0
"genus";"Allium";10;0.9
"genus";"Anaphalis";6;1
"genus";"Angelica";1;0
"genus";"Apocynum";3;1
"genus";"Aralia";1;1
"genus";"Asclepias";3;1
"genus";"Astrantia";3;1
"genus";"Baccharis";1;1
"genus";"Berteroa";1;1
"genus";"Campsis";1;1
"genus";"Ceanothus";6;1
"genus";"Celosia";1;1
"genus";"Chaerophyllum";1;1
"genus";"Cirsium";17;0.941176470588235
"genus";"Cistus";1;1
"genus";"Clematis";1;1
"genus";"Clethra";1;1
"genus";"Coriandrum";4;1
"genus";"Dasiphora";1;1
"genus";"Daucus";5;1
"genus";"Doellingeria";1;1
"genus";"Echinacea";1;1
"genus";"Erica";1;1
"genus";"Erigeron";5;1
"genus";"Eriogonum";12;1
"genus";"Eryngium";60;1
"genus";"Euonymus";2;1
"genus";"Eupatorium";16;0.875
"genus";"Euphorbia";1;1
"genus";"Euthamia";6;1
"genus";"Falcaria";2;1
"genus";"Foeniculum";15;0.733333333333333
"genus";"Hedera";3;1
"genus";"Helichrysum";1;0
"genus";"Hemerocallis";1;1
"genus";"Heracleum";2;1
"genus";"Hydrangea";5;1
"genus";"Hylotelephium";5;1
"genus";"Hypericum";1;1
"genus";"Ilex";2;0
"genus";"Knautia";2;0
"genus";"Levisticum";1;1
"genus";"Limonium";2;1
"genus";"Lobularia";1;1
"genus";"Lysimachia";2;1
"genus";"Melilotus";17;1
"genus";"Mentha";47;1
"genus";"Mikania";3;1
"genus";"Monarda";4;1
"genus";"Orlaya";1;0
"genus";"Parthenium";1;1
"genus";"Pastinaca";1;1
"genus";"Pimpinella";1;0
"genus";"Pluchea";1;1
"genus";"Polytaenia";3;1
"genus";"Potentilla";1;0
"genus";"Pycnanthemum";65;0.984615384615385
"genus";"Rhus";1;1
"genus";"Rubus";2;1
"genus";"Ruta";2;1
"genus";"Sambucus";3;1
"genus";"Smyrnium";1;0
"genus";"Solidago";43;0.790697674418605
"genus";"Spiraea";1;1
"genus";"Symphyotrichum";2;1
"genus";"Tagetes";1;1
"genus";"Veronica";1;1
"genus";"Ziziphus";1;1
"family";"Amaranthaceae";1;1
"family";"Amaryllidaceae";10;0.9
"family";"Anacardiaceae";1;1
"family";"Apiaceae";102;1
"family";"Apocynaceae";6;1
"family";"Aquifoliaceae";2;0
"family";"Araliaceae";4;1
"family";"Asphodelaceae";1;1
"family";"Asteraceae";112;1
"family";"Bignoniaceae";1;1
"family";"Brassicaceae";2;1
"family";"Caprifoliaceae";2;1
"family";"Celastraceae";2;1
"family";"Cistaceae";1;1
"family";"Clethraceae";1;1
"family";"Crassulaceae";5;1
"family";"Ericaceae";1;1
"family";"Euphorbiaceae";1;1
"family";"Fabaceae";17;1
"family";"Hydrangeaceae";5;1
"family";"Hypericaceae";1;1
"family";"Lamiaceae";117;1
"family";"Plumbaginaceae";2;1
"family";"Polygonaceae";12;1
"family";"Primulaceae";2;1
"family";"Ranunculaceae";1;1
"family";"Rhamnaceae";7;1
"family";"Rosaceae";4;1
"family";"Rutaceae";2;1
"family";"Sapindaceae";1;1
"family";"Scrophulariaceae";1;0
"family";"Thymelaeaceae";1;0
"family";"Viburnaceae";3;1
