"SampleID";"image_url";"year";"latitude";"longitude";"expected_family";"predicted_family";"acc_familly";"expected_genus";"predicted_genus";"acc_genus"
101527967;"https://inaturalist-open-data.s3.amazonaws.com/photos/169575733/original.jpeg";2020;49.8401479449;8.5730175657;"Asteraceae";"Asteraceae";TRUE;"Solidago";"Solidago";TRUE
104263889;"https://inaturalist-open-data.s3.amazonaws.com/photos/174674519/original.jpeg";2013;48.8418381275;2.2747150532;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
104360428;"https://inaturalist-open-data.s3.amazonaws.com/photos/174849416/original.jpeg";2021;47.4583473;19.11573354;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
104360429;"https://inaturalist-open-data.s3.amazonaws.com/photos/174849426/original.jpeg";2021;47.4583473;19.11573354;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
105601116;"https://static.inaturalist.org/photos/177219549/original.jpeg";2019;45.9194027778;6.1434555556;"Apiaceae";"Apiaceae";TRUE;"Angelica";"Levisticum";FALSE
105680291;"https://static.inaturalist.org/photos/177368073/original.jpeg";2019;45.9193722222;6.1434027778;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
106241094;"https://inaturalist-open-data.s3.amazonaws.com/photos/178436986/original.jpeg";2021;47.6404065012;19.0062235072;"Apiaceae";"Apiaceae";TRUE;"Eryngium";"Eryngium";TRUE
107237741;"https://inaturalist-open-data.s3.amazonaws.com/photos/180313565/original.jpeg";2021;45.4204916667;-75.6829166667;"Thymelaeaceae";"Rosaceae";FALSE;"Dasiphora";"Dasiphora";TRUE
11013073;"https://inaturalist-open-data.s3.amazonaws.com/photos/15524040/original.jpg";2016;43.5224767792;-79.8816776276;"Lamiaceae";"Lamiaceae";TRUE;"Mentha";"Mentha";TRUE
12997425;"https://inaturalist-open-data.s3.amazonaws.com/photos/18905197/original.jpeg";2018;32.31179504;-97.0161308296;"Asteraceae";"Asteraceae";TRUE;"Echinacea";"Echinacea";TRUE
13804178;"https://inaturalist-open-data.s3.amazonaws.com/photos/20361736/original.jpg";2018;40.7933284808;-73.9525647461;"Asteraceae";"Asteraceae";TRUE;"Achillea";"Achillea";TRUE
