"SampleID";"url";"image_url";"latitude";"longitude";"positional_accuracy";"observed_on";"year";"flora";"predicted_family";"predicted_genus";"predicted_scientific_name";"predicted_scientific_name_without_author";"rank";"confidence_score";"predicted_organ";"predicted_organ_score";"error"
98199565;"https://www.inaturalist.org/observations/98199565";"https://static.inaturalist.org/photos/163450821/original.jpeg";42.1559997081;2.5404464174;61;"2021-10-14";2021;"k-southwestern-europe";"Asteraceae";"Symphyotrichum";"Symphyotrichum pilosum (Willd.) G.L.Nesom";"Symphyotrichum pilosum";1;0.73038;"plant_flower";0.8361;
98340928;"https://www.inaturalist.org/observations/98340928";"https://inaturalist-open-data.s3.amazonaws.com/photos/163707244/original.jpeg";29.3921380953;-98.4966484156;2;"2021-10-12";2021;"k-south-central-u-s-a";"Asteraceae";"Mikania";"Mikania scandens (L.) Willd.";"Mikania scandens";1;0.5797;"plant_flower";0.72606;
97400104;"https://www.inaturalist.org/observations/97400104";"https://inaturalist-open-data.s3.amazonaws.com/photos/161978588/original.jpg";45.3419507037;-73.7691164017;61;"2021-10-05";2021;"k-eastern-canada";"Asteraceae";"Symphyotrichum";"Symphyotrichum × salignum (Willd.) G.L.Nesom";"Symphyotrichum × salignum";1;0.53908;"plant_flower";0.66582;
99779820;"https://www.inaturalist.org/observations/99779820";"https://inaturalist-open-data.s3.amazonaws.com/photos/166410319/original.jpeg";47.6576783333;16.1460266667;;"2021-10-03";2021;"k-middle-europe";"Asteraceae";"Solidago";"Solidago altissima L.";"Solidago altissima";1;0.56737;"plant_flower";0.81564;
97211514;"https://www.inaturalist.org/observations/97211514";"https://inaturalist-open-data.s3.amazonaws.com/photos/161627407/original.jpeg";31.9861466667;-95.88817;;"2021-10-01";2021;"k-south-central-u-s-a";"Asteraceae";"Mikania";"Mikania scandens (L.) Willd.";"Mikania scandens";1;0.6496;"plant_flower";0.84176;
97209361;"https://www.inaturalist.org/observations/97209361";"https://inaturalist-open-data.s3.amazonaws.com/photos/161623548/original.jpeg";31.9862383333;-95.8881566667;;"2021-10-01";2021;"k-south-central-u-s-a";"Asteraceae";"Mikania";"Mikania scandens (L.) Willd.";"Mikania scandens";1;0.90415;"plant_flower";0.87724;
96519869;"https://www.inaturalist.org/observations/96519869";"https://inaturalist-open-data.s3.amazonaws.com/photos/160361740/original.jpeg";29.5168630954;-95.5202087294;;"2021-09-28";2021;"k-south-central-u-s-a";"Asteraceae";"Eupatorium";"Eupatorium serotinum Michx.";"Eupatorium serotinum";1;0.59418;"plant_flower";0.87035;
96162842;"https://www.inaturalist.org/observations/96162842";"https://inaturalist-open-data.s3.amazonaws.com/photos/159720543/original.jpg";44.0209672;-123.0869101;184;"2021-09-25";2021;"k-northwestern-u-s-a";"Asteraceae";"Solidago";"Solidago rugosa Mill.";"Solidago rugosa";1;0.89073;"plant_flower";0.8594;
95982220;"https://www.inaturalist.org/observations/95982220";"https://inaturalist-open-data.s3.amazonaws.com/photos/159403416/original.jpg";48.0010257495;16.2737213666;8;"2021-09-24";2021;"k-middle-europe";"Polygonaceae";"Reynoutria";"Reynoutria japonica Houtt.";"Reynoutria japonica";1;0.60201;"plant_flower";0.74997;
95486442;"https://www.inaturalist.org/observations/95486442";"https://inaturalist-open-data.s3.amazonaws.com/photos/158527347/original.jpeg";45.4750611111;-122.5612916667;;"2021-09-19";2021;"k-northwestern-u-s-a";"Apiaceae";"Foeniculum";"Foeniculum vulgare Mill.";"Foeniculum vulgare";1;0.96828;"plant_flower";0.65736;
95494847;"https://www.inaturalist.org/observations/95494847";"https://static.inaturalist.org/photos/158542788/original.jpg";41.2031533333;-73.64058;4;"2021-09-19";2021;"k-northeastern-u-s-a";"Asteraceae";"Solidago";"Solidago rugosa Mill.";"Solidago rugosa";1;0.66352;"plant_flower";0.88769;
95486676;"https://www.inaturalist.org/observations/95486676";"https://inaturalist-open-data.s3.amazonaws.com/photos/158531011/original.jpeg";40.1193680424;-74.212161834;64;"2021-09-19";2021;"k-northeastern-u-s-a";"Asteraceae";"Euthamia";"Euthamia graminifolia (L.) Nutt.";"Euthamia graminifolia";1;0.538;"plant_flower";0.88943;
94865984;"https://www.inaturalist.org/observations/94865984";"https://inaturalist-open-data.s3.amazonaws.com/photos/157415275/original.jpg";40.4572874995;-80.0053177511;35;"2021-09-14";2021;"k-northeastern-u-s-a";"Asteraceae";"Eupatorium";"Eupatorium perfoliatum L.";"Eupatorium perfoliatum";1;0.54305;"plant_flower";0.86626;
94825166;"https://www.inaturalist.org/observations/94825166";"https://inaturalist-open-data.s3.amazonaws.com/photos/157344565/original.jpeg";40.7805299712;-73.9706726992;296;"2021-09-12";2021;"k-northeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.74919;"plant_flower";0.85895;
94306371;"https://www.inaturalist.org/observations/94306371";"https://inaturalist-open-data.s3.amazonaws.com/photos/156425893/original.jpg";41.2752319876;2.0653090288;2;"2021-09-09";2021;"k-southwestern-europe";"Apiaceae";"Echinophora";"Echinophora spinosa L.";"Echinophora spinosa";1;0.90932;"plant_flower";0.90058;
94200217;"https://www.inaturalist.org/observations/94200217";"https://inaturalist-open-data.s3.amazonaws.com/photos/156237656/original.jpeg";41.7658522197;2.62616414;;"2021-09-09";2021;"k-southwestern-europe";"Lamiaceae";"Mentha";"Mentha suaveolens Ehrh.";"Mentha suaveolens";1;0.80534;"plant_flower";0.5998;
94270836;"https://www.inaturalist.org/observations/94270836";"https://inaturalist-open-data.s3.amazonaws.com/photos/156360352/original.jpeg";43.7605585908;-79.2584241114;3281;"2021-09-09";2021;"k-eastern-canada";"Asteraceae";"Solidago";"Solidago canadensis L.";"Solidago canadensis";1;0.58316;"plant_flower";0.77388;
94962503;"https://www.inaturalist.org/observations/94962503";"https://static.inaturalist.org/photos/157589202/original.jpeg";42.0089350557;-74.1071859253;2;"2021-09-08";2021;"k-northeastern-u-s-a";"Crassulaceae";"Hylotelephium";"Hylotelephium spectabile (Boreau) H.Ohba";"Hylotelephium spectabile";1;0.58083;"plant_flower";0.79062;
94721669;"https://www.inaturalist.org/observations/94721669";"https://inaturalist-open-data.s3.amazonaws.com/photos/157163302/original.jpeg";50.1248000039;8.6560283334;37;"2021-09-08";2021;"k-middle-europe";"Asteraceae";"Euthamia";"Euthamia graminifolia (L.) Nutt.";"Euthamia graminifolia";1;0.64166;"plant_flower";0.64086;
94101609;"https://www.inaturalist.org/observations/94101609";"https://inaturalist-open-data.s3.amazonaws.com/photos/156059485/original.jpeg";43.313405012;-73.6645437777;300;"2021-09-06";2021;"k-northeastern-u-s-a";"Asteraceae";"Solidago";"Solidago caesia L.";"Solidago caesia";1;0.63214;"plant_flower";0.7634;
94064045;"https://www.inaturalist.org/observations/94064045";"https://inaturalist-open-data.s3.amazonaws.com/photos/155989367/original.jpg";38.882761418;-94.9680813136;4;"2021-09-05";2021;"k-north-central-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.99236;"plant_flower";0.56941;
93738567;"https://www.inaturalist.org/observations/93738567";"https://static.inaturalist.org/photos/155403100/original.jpg";48.6994997875;2.5303524148;112;"2021-09-05";2021;"k-southwestern-europe";"Lamiaceae";"Mentha";"Mentha pulegium L.";"Mentha pulegium";1;0.87676;"plant_flower";0.70257;
93347037;"https://www.inaturalist.org/observations/93347037";"https://inaturalist-open-data.s3.amazonaws.com/photos/154703307/original.jpeg";46.8864785083;15.629133225;;"2021-09-02";2021;"k-middle-europe";"Crassulaceae";"Hylotelephium";"Hylotelephium spectabile (Boreau) H.Ohba";"Hylotelephium spectabile";1;0.67436;"plant_flower";0.77378;
93299016;"https://www.inaturalist.org/observations/93299016";"https://static.inaturalist.org/photos/154613203/original.jpg";45.5490910292;-122.8625826169;9;"2021-09-01";2021;"k-northwestern-u-s-a";"Lamiaceae";"Mentha";"Mentha spicata L.";"Mentha spicata";1;0.58088;"plant_flower";0.62309;
93246008;"https://www.inaturalist.org/observations/93246008";"https://inaturalist-open-data.s3.amazonaws.com/photos/154519395/original.jpg";50.1710110323;8.6314443904;4;"2021-09-01";2021;"k-middle-europe";"Asteraceae";"Cirsium";"Cirsium arvense (L.) Scop.";"Cirsium arvense";1;0.51914;"plant_flower";0.87245;
151153894;"https://www.inaturalist.org/observations/151153894";"https://static.inaturalist.org/photos/260759737/original.jpg";43.984986;0.011111;4681;"2021-08-29";2021;"k-southwestern-europe";"Lamiaceae";"Mentha";"Mentha suaveolens Ehrh.";"Mentha suaveolens";1;0.92799;"plant_flower";0.75147;
92830178;"https://www.inaturalist.org/observations/92830178";"https://inaturalist-open-data.s3.amazonaws.com/photos/153761446/original.jpg";43.033476884;-76.1399037243;24;"2021-08-28";2021;"k-northeastern-u-s-a";"Asteraceae";"Solidago";"Solidago juncea Aiton";"Solidago juncea";1;0.71426;"plant_flower";0.85934;
93137850;"https://www.inaturalist.org/observations/93137850";"https://static.inaturalist.org/photos/154323235/original.jpeg";44.7358269;-63.7928628;9726;"2021-08-28";2021;"k-eastern-canada";"Asteraceae";"Anaphalis";"Anaphalis margaritacea (L.) Benth. & Hook.f.";"Anaphalis margaritacea";1;0.63325;"plant_flower";0.87838;
93570186;"https://www.inaturalist.org/observations/93570186";"https://inaturalist-open-data.s3.amazonaws.com/photos/155102185/original.jpg";52.456736959;13.2997954784;164;"2021-08-28";2021;"k-middle-europe";"Asteraceae";"Doellingeria";"Doellingeria umbellata (Mill.) Nees";"Doellingeria umbellata";1;0.62493;"plant_flower";0.77219;
92914380;"https://www.inaturalist.org/observations/92914380";"https://static.inaturalist.org/photos/153910324/original.jpg";41.3581397956;-83.1178664924;8;"2021-08-28";2021;"k-northeastern-u-s-a";"Crassulaceae";"Hylotelephium";"Hylotelephium spectabile (Boreau) H.Ohba";"Hylotelephium spectabile";1;0.85655;"plant_flower";0.89768;
92680582;"https://www.inaturalist.org/observations/92680582";"https://inaturalist-open-data.s3.amazonaws.com/photos/153493815/original.jpg";45.7279616667;4.834705;4;"2021-08-27";2021;"k-southwestern-europe";"Amaryllidaceae";"Allium";"Allium tuberosum Rottler ex Spreng.";"Allium tuberosum";1;0.85204;"plant_flower";0.7738;
92589014;"https://www.inaturalist.org/observations/92589014";"https://inaturalist-open-data.s3.amazonaws.com/photos/153324225/original.jpg";43.1941666667;6.0090616667;;"2021-08-26";2021;"k-southwestern-europe";"Araliaceae";"Hedera";"Hedera helix L.";"Hedera helix";1;0.66905;"plant_flower";0.61534;
92464065;"https://www.inaturalist.org/observations/92464065";"https://static.inaturalist.org/photos/153103323/original.jpeg";47.8990209674;1.8842632324;4493;"2021-08-25";2021;"k-southwestern-europe";"Lamiaceae";"Mentha";"Mentha suaveolens Ehrh.";"Mentha suaveolens";1;0.53385;"plant_flower";0.83978;
92411653;"https://www.inaturalist.org/observations/92411653";"https://inaturalist-open-data.s3.amazonaws.com/photos/153007936/original.jpg";42.4349733333;-71.4554416667;;"2021-08-24";2021;"k-northeastern-u-s-a";"Asteraceae";"Euthamia";"Euthamia graminifolia (L.) Nutt.";"Euthamia graminifolia";1;0.71564;"plant_flower";0.7329;
92842657;"https://www.inaturalist.org/observations/92842657";"https://inaturalist-open-data.s3.amazonaws.com/photos/153785244/original.jpg";47.4955887978;7.640027381;22;"2021-08-24";2021;"k-middle-europe";"Asteraceae";"Cirsium";"Cirsium arvense (L.) Scop.";"Cirsium arvense";1;0.93804;"plant_flower";0.78461;
94173779;"https://www.inaturalist.org/observations/94173779";"https://inaturalist-open-data.s3.amazonaws.com/photos/156189012/original.jpg";40.6426349131;-73.9681655393;1;"2021-08-23";2021;"k-northeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.517;"plant_flower";0.67161;
92249753;"https://www.inaturalist.org/observations/92249753";"https://inaturalist-open-data.s3.amazonaws.com/photos/152712570/original.jpg";43.1940572805;6.0091930407;2;"2021-08-23";2021;"k-southwestern-europe";"Araliaceae";"Hedera";"Hedera helix L.";"Hedera helix";1;0.55195;"plant_flower";0.82396;
92179403;"https://www.inaturalist.org/observations/92179403";"https://inaturalist-open-data.s3.amazonaws.com/photos/152584413/original.jpeg";38.018243;-122.277885;;"2021-08-22";2021;"k-southwestern-u-s-a";"Asteraceae";"Baccharis";"Baccharis douglasii DC.";"Baccharis douglasii";1;0.55578;"plant_flower";0.70375;
92176427;"https://www.inaturalist.org/observations/92176427";"https://inaturalist-open-data.s3.amazonaws.com/photos/152578815/original.jpeg";38.0187252;-122.277563;108;"2021-08-22";2021;"k-southwestern-u-s-a";"Asteraceae";"Baccharis";"Baccharis douglasii DC.";"Baccharis douglasii";1;0.66901;"plant_flower";0.78527;
92007919;"https://www.inaturalist.org/observations/92007919";"https://inaturalist-open-data.s3.amazonaws.com/photos/152272536/original.jpg";40.6559526211;-7.9345867996;15;"2021-08-21";2021;"k-southwestern-europe";"Lamiaceae";"Mentha";"Mentha suaveolens Ehrh.";"Mentha suaveolens";1;0.77558;"plant_flower";0.87724;
91994664;"https://www.inaturalist.org/observations/91994664";"https://inaturalist-open-data.s3.amazonaws.com/photos/152249031/original.jpeg";48.1267420917;16.2520552556;;"2021-08-21";2021;"k-middle-europe";"Apiaceae";"Eryngium";"Eryngium campestre L.";"Eryngium campestre";1;0.53053;"plant_flower";0.63363;
92158133;"https://www.inaturalist.org/observations/92158133";"https://static.inaturalist.org/photos/152544735/original.jpeg";38.9716833333;-77.4052027778;;"2021-08-21";2021;"k-southeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.71632;"plant_flower";0.63345;
91895847;"https://www.inaturalist.org/observations/91895847";"https://inaturalist-open-data.s3.amazonaws.com/photos/152075645/original.jpeg";38.0187252;-122.277563;123;"2021-08-20";2021;"k-southwestern-u-s-a";"Asteraceae";"Baccharis";"Baccharis douglasii DC.";"Baccharis douglasii";1;0.58872;"plant_flower";0.80153;
92398128;"https://www.inaturalist.org/observations/92398128";"https://inaturalist-open-data.s3.amazonaws.com/photos/152984413/original.jpg";40.6426371882;-73.9681643976;2;"2021-08-20";2021;"k-northeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.70257;"plant_flower";0.65375;
92049525;"https://www.inaturalist.org/observations/92049525";"https://inaturalist-open-data.s3.amazonaws.com/photos/152350085/original.jpeg";42.2663028507;-71.184215499;;"2021-08-20";2021;"k-northeastern-u-s-a";"Rosaceae";"Spiraea";"Spiraea alba Du Roi";"Spiraea alba";1;0.83611;"plant_flower";0.80224;
91848710;"https://www.inaturalist.org/observations/91848710";"https://inaturalist-open-data.s3.amazonaws.com/photos/151990529/original.jpg";43.1940166667;6.0091283333;;"2021-08-20";2021;"k-southwestern-europe";"Araliaceae";"Hedera";"Hedera helix L.";"Hedera helix";1;0.57374;"plant_flower";0.73046;
92363991;"https://www.inaturalist.org/observations/92363991";"https://inaturalist-open-data.s3.amazonaws.com/photos/152923402/original.jpg";40.6426374099;-73.9681693051;2;"2021-08-19";2021;"k-northeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.91893;"plant_flower";0.66644;
92362681;"https://www.inaturalist.org/observations/92362681";"https://inaturalist-open-data.s3.amazonaws.com/photos/152921047/original.jpg";40.6426405508;-73.9681662444;2;"2021-08-19";2021;"k-northeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.55401;"plant_flower";0.76806;
97147304;"https://www.inaturalist.org/observations/97147304";"https://inaturalist-open-data.s3.amazonaws.com/photos/161505010/original.jpg";48.4126491667;11.7495038889;;"2021-08-19";2021;"k-middle-europe";"Asteraceae";"Solidago";"Solidago gigantea Aiton";"Solidago gigantea";1;0.50591;"plant_flower";0.8905;
91679824;"https://www.inaturalist.org/observations/91679824";"https://inaturalist-open-data.s3.amazonaws.com/photos/151689082/original.jpeg";47.6197242737;-122.3247375488;84;"2021-08-18";2021;"k-northwestern-u-s-a";"Asteraceae";"Calendula";"Calendula stellata Cav.";"Calendula stellata";1;0.58075;"plant_flower";0.80451;
91591333;"https://www.inaturalist.org/observations/91591333";"https://inaturalist-open-data.s3.amazonaws.com/photos/151529624/original.jpeg";38.0187252;-122.277563;119;"2021-08-17";2021;"k-southwestern-u-s-a";"Asteraceae";"Baccharis";"Baccharis douglasii DC.";"Baccharis douglasii";1;0.66184;"plant_flower";0.69895;
146151324;"https://www.inaturalist.org/observations/146151324";"https://static.inaturalist.org/photos/251203997/original.jpg";40.1469239307;-75.2256961081;6;"2021-08-17";2021;"k-northeastern-u-s-a";"Lamiaceae";"Pycnanthemum";"Pycnanthemum muticum (Michx.) Pers.";"Pycnanthemum muticum";1;0.53023;"plant_flower";0.72416;
