"predicted_genus";"2008_n";"2009_n";"2010_n";"2011_n";"2012_n";"2013_n";"2014_n";"2015_n";"2016_n";"2017_n";"2018_n";"2019_n";"2020_n";"2021_n";"2008_pct";"2009_pct";"2010_pct";"2011_pct";"2012_pct";"2013_pct";"2014_pct";"2015_pct";"2016_pct";"2017_pct";"2018_pct";"2019_pct";"2020_pct";"2021_pct"
"Achillea";0;0;0;0;0;0;0;1;0;0;1;1;0;4;0;0;0;0;0;0;0;11.1111111111111;0;0;2;0.869565217391304;0;1.65289256198347
"Aegopodium";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0.869565217391304;0;0.413223140495868
"Aesculus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Allium";0;0;0;0;0;0;0;1;0;0;0;3;3;4;0;0;0;0;0;0;0;11.1111111111111;0;0;0;2.60869565217391;1.35746606334842;1.65289256198347
"Ammi";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7.69230769230769;0;0;0;0;0
"Ampelopsis";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16.6666666666667;0;0;0;0;0;0;0;0
"Anaphalis";1;0;0;0;0;0;0;1;0;1;1;1;3;4;50;0;0;0;0;0;0;11.1111111111111;0;3.57142857142857;2;0.869565217391304;1.35746606334842;1.65289256198347
"Anethum";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.826446280991736
"Angelica";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73913043478261;0;0
"Apocynum";0;0;0;0;0;0;0;0;0;0;3;0;2;3;0;0;0;0;0;0;0;0;0;0;6;0;0.904977375565611;1.2396694214876
"Aralia";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.826446280991736
"Asclepias";0;0;0;0;0;0;0;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;3.57142857142857;2;0;0.452488687782805;1.2396694214876
"Astrantia";0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0.452488687782805;0.826446280991736
"Baccharis";0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2.06611570247934
"Berteroa";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.413223140495868
"Bupleurum";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;12.5;0;0;0;0;0.869565217391304;0.452488687782805;0
"Calendula";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.413223140495868
"Campsis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
