"scientific_name";"SampleID";"url";"image_url";"quality_grade";"observed_on";"year";"latitude";"longitude";"positional_accuracy";"place_guess";"user_login";"flora"
"Isodontia mexicana";102774953;"https://www.inaturalist.org/observations/102774953";"https://inaturalist-open-data.s3.amazonaws.com/photos/171873730/original.jpeg";"research";"2021-12-09";2021;31.126320777;-97.7415690159;204;"Texas, US";"moonflower6";"k-south-central-u-s-a"
"Isodontia mexicana";101289167;"https://www.inaturalist.org/observations/101289167";"https://inaturalist-open-data.s3.amazonaws.com/photos/169144745/original.jpg";"research";"2021-11-16";2021;29.7140916184;-95.4011465846;36;"Rice University, Houston, TX, US";"cintylee";"k-south-central-u-s-a"
"Isodontia mexicana";100956100;"https://www.inaturalist.org/observations/100956100";"https://inaturalist-open-data.s3.amazonaws.com/photos/168601155/original.jpeg";"research";"2021-11-12";2021;47.5165320309;-122.2611208633;140;"Rainier Beach, Seattle, WA, USA";"theinz";"k-northwestern-u-s-a"
"Isodontia mexicana";116700585;"https://www.inaturalist.org/observations/116700585";"https://inaturalist-open-data.s3.amazonaws.com/photos/197015961/original.jpeg";"research";"2021-11-09";2021;26.2906495;-98.1352817;199;"Edinburg Scenic Wetlands & World Birding Center, South Raul Longoria Road, Edinburg, TX, USA";"sarabseth";"k-south-central-u-s-a"
"Isodontia mexicana";106400756;"https://www.inaturalist.org/observations/106400756";"https://inaturalist-open-data.s3.amazonaws.com/photos/178728276/original.jpeg";"research";"2021-11-06";2021;26.2906495;-98.1352817;199;"714 S Raul Longoria Rd, Edinburg, TX 78542, USA";"kbarylski";"k-south-central-u-s-a"
"Isodontia mexicana";100442129;"https://www.inaturalist.org/observations/100442129";"https://inaturalist-open-data.s3.amazonaws.com/photos/167640213/original.jpg";"research";"2021-11-06";2021;31.4884262694;-97.2862121287;31;"Waco, TX, USA";"analyst14";"k-south-central-u-s-a"
"Isodontia mexicana";100510197;"https://www.inaturalist.org/observations/100510197";"https://inaturalist-open-data.s3.amazonaws.com/photos/167762665/original.jpg";"research";"2021-11-02";2021;30.312821;-97.698503;2;"1414 Larkwood Dr, Austin, TX, US";"adrianj";"k-south-central-u-s-a"
"Isodontia mexicana";100019282;"https://www.inaturalist.org/observations/100019282";"https://static.inaturalist.org/photos/166869780/original.jpg";"research";"2021-11-01";2021;40.6576583333;-73.9640266667;NA;"Prospect Park (incl. Brooklyn Botanic Garden), Kings, New York, United States";"elharo";"k-northeastern-u-s-a"
"Isodontia mexicana";98736928;"https://www.inaturalist.org/observations/98736928";"https://inaturalist-open-data.s3.amazonaws.com/photos/164454573/original.jpeg";"research";"2021-10-19";2021;38.7873542;-77.3170825;136;"5935 Freds Oak Rd, Burke, VA 22015, USA";"peggyo";"k-southeastern-u-s-a"
"Isodontia mexicana";98472880;"https://www.inaturalist.org/observations/98472880";"https://inaturalist-open-data.s3.amazonaws.com/photos/163958411/original.jpg";"research";"2021-10-17";2021;47.0472666667;16.0776528333;9;"Stadlweg, Fürstenfeld, Steiermark, AT";"lisamaier";"k-middle-europe"
"Isodontia mexicana";100005981;"https://www.inaturalist.org/observations/100005981";"https://inaturalist-open-data.s3.amazonaws.com/photos/166845254/original.jpeg";"research";"2021-10-16";2021;47.6702683333;16.1327166667;NA;"Neunkirchen, Niederösterreich, Austria";"waldgeist";"k-middle-europe"
"Isodontia mexicana";98552694;"https://www.inaturalist.org/observations/98552694";"https://inaturalist-open-data.s3.amazonaws.com/photos/164106608/original.jpeg";"research";"2021-10-15";2021;30.161815157;-90.1761335277;2325;"Louisiana, US";"benzerante";"k-southeastern-u-s-a"
