"SampleID";"url";"image_url";"latitude";"longitude";"positional_accuracy";"observed_on";"year";"flora";"predicted_family";"predicted_genus";"predicted_scientific_name";"predicted_scientific_name_without_author";"rank";"confidence_score";"predicted_organ";"predicted_organ_score";"error"
"102774953";"https://www.inaturalist.org/observations/102774953";"https://inaturalist-open-data.s3.amazonaws.com/photos/171873730/original.jpeg";31.126320777;-97.7415690159;204;"2021-12-09";2021;"k-south-central-u-s-a";"Apiaceae";"Eryngium";"Eryngium planum L.";"Eryngium planum";1;0.40752;"flower";0.56906;NA
"102774953";"https://www.inaturalist.org/observations/102774953";"https://inaturalist-open-data.s3.amazonaws.com/photos/171873730/original.jpeg";31.126320777;-97.7415690159;204;"2021-12-09";2021;"k-south-central-u-s-a";"Apiaceae";"Eryngium";"Eryngium caeruleum M.Bieb.";"Eryngium caeruleum";2;0.07738;"flower";0.56906;NA
"102774953";"https://www.inaturalist.org/observations/102774953";"https://inaturalist-open-data.s3.amazonaws.com/photos/171873730/original.jpeg";31.126320777;-97.7415690159;204;"2021-12-09";2021;"k-south-central-u-s-a";"Apiaceae";"Eryngium";"Eryngium bourgatii Gouan";"Eryngium bourgatii";3;0.05394;"flower";0.56906;NA
"102774953";"https://www.inaturalist.org/observations/102774953";"https://inaturalist-open-data.s3.amazonaws.com/photos/171873730/original.jpeg";31.126320777;-97.7415690159;204;"2021-12-09";2021;"k-south-central-u-s-a";"Apiaceae";"Eryngium";"Eryngium alpinum L.";"Eryngium alpinum";4;0.01115;"flower";0.56906;NA
"102774953";"https://www.inaturalist.org/observations/102774953";"https://inaturalist-open-data.s3.amazonaws.com/photos/171873730/original.jpeg";31.126320777;-97.7415690159;204;"2021-12-09";2021;"k-south-central-u-s-a";"Apiaceae";"Eryngium";"Eryngium carlinae F.Delaroche";"Eryngium carlinae";5;0.00832;"flower";0.56906;NA
"101289167";"https://www.inaturalist.org/observations/101289167";"https://inaturalist-open-data.s3.amazonaws.com/photos/169144745/original.jpg";29.7140916184;-95.4011465846;36;"2021-11-16";2021;"k-south-central-u-s-a";"Viburnaceae";"Sambucus";"Sambucus nigra L.";"Sambucus nigra";1;0.0059;"flower";0.01421;NA
"101289167";"https://www.inaturalist.org/observations/101289167";"https://inaturalist-open-data.s3.amazonaws.com/photos/169144745/original.jpg";29.7140916184;-95.4011465846;36;"2021-11-16";2021;"k-south-central-u-s-a";"Cyperaceae";"Carex";"Carex pulicaris L.";"Carex pulicaris";2;0.00355;"flower";0.01421;NA
"101289167";"https://www.inaturalist.org/observations/101289167";"https://inaturalist-open-data.s3.amazonaws.com/photos/169144745/original.jpg";29.7140916184;-95.4011465846;36;"2021-11-16";2021;"k-south-central-u-s-a";"Aquifoliaceae";"Ilex";"Ilex glabra (L.) A.Gray";"Ilex glabra";3;0.00324;"flower";0.01421;NA
"101289167";"https://www.inaturalist.org/observations/101289167";"https://inaturalist-open-data.s3.amazonaws.com/photos/169144745/original.jpg";29.7140916184;-95.4011465846;36;"2021-11-16";2021;"k-south-central-u-s-a";"Oleaceae";"Chionanthus";"Chionanthus virginicus L.";"Chionanthus virginicus";4;0.00211;"flower";0.01421;NA
"101289167";"https://www.inaturalist.org/observations/101289167";"https://inaturalist-open-data.s3.amazonaws.com/photos/169144745/original.jpg";29.7140916184;-95.4011465846;36;"2021-11-16";2021;"k-south-central-u-s-a";"Polygonaceae";"Triplaris";"Triplaris cumingiana Fisch. & C.A.Mey.";"Triplaris cumingiana";5;0.00206;"flower";0.01421;NA
